userid,modulename,PreLearn,Learning,PostLearning
3007,Problems with Two Types of Potential Energy,NP,NA,NA
3007,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3007,More mechanical energy problems,Other_P,NA,NA
3026,Kinetic Energy,NF,N,EP
3026,Work by a constant force,NF,N,NP
3026,Work and Kinetic Energy,BF,N,NA
3026,Potential Energy,NF,N,NA
3026,When is Mechanical Energy Conserved,NP,NA,NA
3026,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3026,Problems Using Conservation of Mechanical Energy,NF,N,NA
3026,Problems with Two Types of Potential Energy,BP,NA,NA
3026,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3026,More mechanical energy problems,BF,B,NP
3029,Kinetic Energy,NF,N,EP
3029,Work by a constant force,NF,N,NF
3029,Work and Kinetic Energy,BF,N,EF
3029,Potential Energy,NP,NA,NA
3029,When is Mechanical Energy Conserved,BP,NA,NA
3029,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3029,Problems Using Conservation of Mechanical Energy,NF,N,NA
3029,Problems with Two Types of Potential Energy,BP,NA,NA
3029,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
3029,More mechanical energy problems,NP,NA,NA
3030,Kinetic Energy,NP,NA,NA
3030,Work by a constant force,Other_P,NA,NA
3030,Work and Kinetic Energy,NP,NA,NA
3030,Potential Energy,NP,NA,NA
3030,When is Mechanical Energy Conserved,Other_F,NA,NA
3030,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
3030,Problems Using Conservation of Mechanical Energy,NF,B,EP
3030,Problems with Two Types of Potential Energy,NP,NA,NA
3030,Mechanical Energy and Non-Conservative Work,NF,B,EP
3030,More mechanical energy problems,NF,B,EP
3032,Kinetic Energy,NP,NA,NA
3032,Work by a constant force,Other_P,NA,NA
3032,Work and Kinetic Energy,NP,NA,NA
3032,Potential Energy,NP,NA,NA
3032,When is Mechanical Energy Conserved,Other_P,NA,NA
3032,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
3032,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
3032,Problems with Two Types of Potential Energy,NP,NA,NA
3032,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3032,More mechanical energy problems,Other_P,NA,NA
3048,Kinetic Energy,NP,NA,NA
3048,Work by a constant force,NP,NA,NA
3048,Work and Kinetic Energy,NF,N,EP
3048,Potential Energy,NF,N,NP
3048,When is Mechanical Energy Conserved,NF,N,NF
3048,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3048,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3048,Problems with Two Types of Potential Energy,NP,NA,NA
3048,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3048,More mechanical energy problems,NP,NA,NA
3058,Kinetic Energy,Other_F,NA,NA
3058,Work by a constant force,Other_F,NA,NA
3058,Work and Kinetic Energy,NP,NA,NA
3058,Potential Energy,NP,NA,NA
3058,When is Mechanical Energy Conserved,NF,B,NF
3058,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3058,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
3058,Problems with Two Types of Potential Energy,NF,B,BP
3058,Mechanical Energy and Non-Conservative Work,NF,B,EP
3058,More mechanical energy problems,Other_P,NA,NA
3068,Kinetic Energy,Other_P,NA,NA
3068,Work by a constant force,NP,NA,NA
3068,Work and Kinetic Energy,NP,NA,NA
3068,Potential Energy,Other_F,NA,NA
3068,When is Mechanical Energy Conserved,Other_F,NA,NA
3068,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3068,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
3068,Problems with Two Types of Potential Energy,Other_F,NA,NA
3068,Mechanical Energy and Non-Conservative Work,BP,NA,NA
3068,More mechanical energy problems,BP,NA,NA
3070,Kinetic Energy,Other_F,NA,NA
3070,Work by a constant force,NF,N,BP
3070,Work and Kinetic Energy,NP,NA,NA
3070,Potential Energy,NF,N,NP
3070,When is Mechanical Energy Conserved,NF,N,NP
3070,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3070,Problems Using Conservation of Mechanical Energy,NF,N,EF
3070,Problems with Two Types of Potential Energy,NP,NA,NA
3070,Mechanical Energy and Non-Conservative Work,Other_F,NA,NA
3070,More mechanical energy problems,Other_P,NA,NA
3072,Kinetic Energy,NF,B,NA
3072,Work by a constant force,NF,B,NF
3072,Work and Kinetic Energy,NF,B,NP
3072,Potential Energy,BF,B,NF
3072,When is Mechanical Energy Conserved,NF,B,NF
3072,Simple Application of Conservation of Mechanical Energy,NF,B,BP
3072,Problems Using Conservation of Mechanical Energy,NF,B,NF
3072,Problems with Two Types of Potential Energy,Other_P,NA,NA
3072,Mechanical Energy and Non-Conservative Work,BP,NA,NA
3072,More mechanical energy problems,Other_F,NA,NA
3088,Kinetic Energy,NF,N,NP
3088,Work by a constant force,NF,N,BP
3088,Work and Kinetic Energy,NF,N,BF
3088,Potential Energy,NF,N,NF
3088,When is Mechanical Energy Conserved,BF,N,NP
3088,Simple Application of Conservation of Mechanical Energy,NF,N,BP
3088,Problems Using Conservation of Mechanical Energy,NF,N,EF
3088,Problems with Two Types of Potential Energy,NF,N,EP
3088,Mechanical Energy and Non-Conservative Work,BF,N,BF
3088,More mechanical energy problems,BF,N,EP
3118,Work and Kinetic Energy,NP,NA,NA
3118,Potential Energy,NF,N,NA
3118,When is Mechanical Energy Conserved,Other_NA,NA,NA
3118,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3118,Problems Using Conservation of Mechanical Energy,NF,B,NA
3118,Problems with Two Types of Potential Energy,Other_NA,NA,NA
3118,Mechanical Energy and Non-Conservative Work,Other_NA,NA,NA
3118,More mechanical energy problems,Other_NA,NA,NA
3126,Kinetic Energy,NF,N,NP
3126,Work by a constant force,NF,N,BF
3126,Work and Kinetic Energy,BP,NA,NA
3126,Potential Energy,NF,B,BF
3126,When is Mechanical Energy Conserved,NF,N,NP
3126,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3126,Problems Using Conservation of Mechanical Energy,NF,B,NF
3126,Problems with Two Types of Potential Energy,BP,NA,NA
3126,Mechanical Energy and Non-Conservative Work,BP,NA,NA
3126,More mechanical energy problems,Other_NA,NA,NA
3133,Kinetic Energy,NP,NA,NA
3133,Work by a constant force,NF,N,BP
3133,Work and Kinetic Energy,NP,NA,NA
3133,Potential Energy,NP,NA,NA
3133,When is Mechanical Energy Conserved,NF,N,EP
3133,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
3133,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3133,Problems with Two Types of Potential Energy,NP,NA,NA
3133,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3133,More mechanical energy problems,NP,NA,NA
3166,Kinetic Energy,NP,NA,NA
3166,Work by a constant force,NF,N,BP
3166,Work and Kinetic Energy,NP,NA,NA
3166,Potential Energy,NF,N,NP
3166,When is Mechanical Energy Conserved,NF,N,NF
3166,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3166,Problems Using Conservation of Mechanical Energy,NF,N,BF
3166,Problems with Two Types of Potential Energy,NF,B,EF
3166,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3166,More mechanical energy problems,BP,NA,NA
3185,Kinetic Energy,Other_F,NA,NA
3185,Work by a constant force,NF,N,NP
3185,Work and Kinetic Energy,BP,NA,NA
3185,Potential Energy,NF,N,EF
3185,When is Mechanical Energy Conserved,BF,N,NF
3185,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3185,Problems Using Conservation of Mechanical Energy,NF,N,EF
3185,Problems with Two Types of Potential Energy,BP,NA,NA
3185,Mechanical Energy and Non-Conservative Work,BF,N,EF
3185,More mechanical energy problems,Other_P,NA,NA
3187,Kinetic Energy,NF,N,EP
3187,Work by a constant force,NF,N,BP
3187,Work and Kinetic Energy,BF,N,EF
3187,Potential Energy,BF,N,NP
3187,When is Mechanical Energy Conserved,BF,N,EP
3187,Simple Application of Conservation of Mechanical Energy,BF,N,NP
3187,Problems Using Conservation of Mechanical Energy,BF,N,EP
3187,Problems with Two Types of Potential Energy,NF,N,EF
3187,Mechanical Energy and Non-Conservative Work,BF,N,EP
3187,More mechanical energy problems,BF,N,EF
3189,Kinetic Energy,NF,N,NA
3189,Work by a constant force,NF,N,BF
3189,Work and Kinetic Energy,NP,NA,NA
3189,Potential Energy,NF,N,NP
3189,When is Mechanical Energy Conserved,NF,B,NF
3189,Simple Application of Conservation of Mechanical Energy,NF,B,NF
3189,Problems Using Conservation of Mechanical Energy,NF,B,NA
3189,Problems with Two Types of Potential Energy,Other_F,NA,NA
3189,Mechanical Energy and Non-Conservative Work,BF,N,NP
3189,More mechanical energy problems,NP,NA,NA
3192,Kinetic Energy,Other_F,NA,NA
3192,Work by a constant force,Other_P,NA,NA
3192,Work and Kinetic Energy,NP,NA,NA
3192,Potential Energy,NP,NA,NA
3192,When is Mechanical Energy Conserved,Other_F,NA,NA
3192,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3192,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3192,Problems with Two Types of Potential Energy,BP,NA,NA
3192,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3192,More mechanical energy problems,NP,NA,NA
3198,Kinetic Energy,NF,B,NA
3198,Work by a constant force,Other_NA,NA,NA
3198,Work and Kinetic Energy,NP,NA,NA
3198,When is Mechanical Energy Conserved,NF,N,NF
3198,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
3198,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3198,Problems with Two Types of Potential Energy,NF,N,BF
3198,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3198,More mechanical energy problems,BP,NA,NA
3204,Kinetic Energy,NF,N,EP
3204,Work by a constant force,NF,N,BP
3204,Work and Kinetic Energy,NF,N,EP
3204,Potential Energy,NF,N,NF
3204,When is Mechanical Energy Conserved,NF,N,NF
3204,Simple Application of Conservation of Mechanical Energy,NF,N,BP
3204,Problems Using Conservation of Mechanical Energy,NF,N,EF
3204,Problems with Two Types of Potential Energy,BF,N,BP
3204,Mechanical Energy and Non-Conservative Work,BF,N,NF
3204,More mechanical energy problems,BF,B,BF
3217,Kinetic Energy,NF,N,NP
3217,Work by a constant force,NF,N,BP
3217,Work and Kinetic Energy,BP,NA,NA
3217,Potential Energy,NP,NA,NA
3217,When is Mechanical Energy Conserved,Other_P,NA,NA
3217,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3217,More mechanical energy problems,Other_P,NA,NA
3219,Kinetic Energy,NP,NA,NA
3219,Work by a constant force,NF,N,BP
3219,Work and Kinetic Energy,NP,NA,NA
3219,Potential Energy,NF,N,NF
3219,When is Mechanical Energy Conserved,NF,N,NP
3219,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3219,Problems Using Conservation of Mechanical Energy,NF,N,EF
3219,Problems with Two Types of Potential Energy,NP,NA,NA
3219,Mechanical Energy and Non-Conservative Work,NF,N,BP
3219,More mechanical energy problems,Other_F,NA,NA
3229,Kinetic Energy,NF,N,EF
3229,Work by a constant force,NF,N,EF
3229,Work and Kinetic Energy,NF,N,EP
3229,Potential Energy,NF,N,NP
3229,When is Mechanical Energy Conserved,NF,N,NP
3229,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3229,Problems Using Conservation of Mechanical Energy,NF,N,EF
3229,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3229,More mechanical energy problems,NP,NA,NA
3254,Kinetic Energy,NP,NA,NA
3254,Work by a constant force,NF,N,BP
3254,Work and Kinetic Energy,NP,NA,NA
3254,Potential Energy,Other_F,NA,NA
3254,When is Mechanical Energy Conserved,NF,B,NP
3254,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3254,Problems Using Conservation of Mechanical Energy,NF,B,NF
3254,Problems with Two Types of Potential Energy,NP,NA,NA
3254,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3254,More mechanical energy problems,NF,B,NP
3256,Kinetic Energy,NF,N,NP
3256,Work by a constant force,NF,N,NF
3256,Work and Kinetic Energy,NF,N,NP
3256,Potential Energy,NF,N,NF
3256,When is Mechanical Energy Conserved,NF,N,EP
3256,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3256,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
3256,Problems with Two Types of Potential Energy,NP,NA,NA
3256,Mechanical Energy and Non-Conservative Work,Other_F,NA,NA
3256,More mechanical energy problems,Other_P,NA,NA
3262,Kinetic Energy,NF,N,EP
3262,Work by a constant force,NF,N,BP
3262,Work and Kinetic Energy,NF,N,EP
3262,Potential Energy,NF,N,NP
3262,When is Mechanical Energy Conserved,NF,N,NP
3262,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3272,Kinetic Energy,Other_F,NA,NA
3272,Work by a constant force,NP,NA,NA
3272,Work and Kinetic Energy,NP,NA,NA
3272,Potential Energy,NF,N,EF
3272,When is Mechanical Energy Conserved,NF,B,NP
3272,Simple Application of Conservation of Mechanical Energy,NF,B,NP
3272,Problems Using Conservation of Mechanical Energy,NF,N,NA
3272,Problems with Two Types of Potential Energy,NP,NA,NA
3272,Mechanical Energy and Non-Conservative Work,BF,N,NP
3272,More mechanical energy problems,Other_P,NA,NA
3285,Kinetic Energy,NF,N,BF
3285,Work by a constant force,Other_NA,NA,NA
3285,Work and Kinetic Energy,NF,N,EF
3285,Potential Energy,NF,B,NA
3285,When is Mechanical Energy Conserved,Other_F,NA,NA
3285,Simple Application of Conservation of Mechanical Energy,NF,B,BP
3285,Problems Using Conservation of Mechanical Energy,BF,B,BF
3285,Problems with Two Types of Potential Energy,NF,B,BP
3285,Mechanical Energy and Non-Conservative Work,BP,NA,NA
3285,More mechanical energy problems,BP,NA,NA
3289,Kinetic Energy,Other_F,NA,NA
3289,Work by a constant force,NF,B,BF
3289,Work and Kinetic Energy,BP,NA,NA
3289,Potential Energy,Other_NA,NA,NA
3289,When is Mechanical Energy Conserved,Other_NA,NA,NA
3289,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3289,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
3289,Problems with Two Types of Potential Energy,Other_P,NA,NA
3289,Mechanical Energy and Non-Conservative Work,BP,NA,NA
3289,More mechanical energy problems,BF,B,BF
3294,Kinetic Energy,NF,B,NF
3294,Work by a constant force,NF,B,BP
3294,Work and Kinetic Energy,BF,B,NP
3294,Potential Energy,NF,B,BF
3294,When is Mechanical Energy Conserved,NF,B,BF
3294,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3294,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
3294,Problems with Two Types of Potential Energy,Other_F,NA,NA
3294,Mechanical Energy and Non-Conservative Work,BP,NA,NA
3294,More mechanical energy problems,BF,B,BF
3298,Kinetic Energy,NF,N,EP
3298,Work by a constant force,NF,N,BP
3298,Work and Kinetic Energy,NP,NA,NA
3298,Potential Energy,NP,NA,NA
3298,When is Mechanical Energy Conserved,NF,N,NF
3298,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3298,Problems Using Conservation of Mechanical Energy,NF,N,EF
3298,Problems with Two Types of Potential Energy,NF,B,EP
3298,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
3298,More mechanical energy problems,Other_P,NA,NA
3303,Kinetic Energy,NF,N,EP
3303,Work by a constant force,NF,N,NP
3303,Work and Kinetic Energy,NP,NA,NA
3303,Potential Energy,NF,N,NP
3303,When is Mechanical Energy Conserved,NF,N,NP
3303,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3303,Problems Using Conservation of Mechanical Energy,NF,N,EP
3303,Problems with Two Types of Potential Energy,NP,NA,NA
3303,Mechanical Energy and Non-Conservative Work,NF,N,EP
3303,More mechanical energy problems,NF,N,NP
3310,Kinetic Energy,NF,N,EP
3310,Work by a constant force,NF,N,BF
3310,Work and Kinetic Energy,NF,B,BF
3310,Potential Energy,NF,B,NF
3310,When is Mechanical Energy Conserved,NF,N,BF
3310,Simple Application of Conservation of Mechanical Energy,NF,B,NP
3310,Problems Using Conservation of Mechanical Energy,NF,B,NF
3310,Problems with Two Types of Potential Energy,BF,B,BF
3310,Mechanical Energy and Non-Conservative Work,BP,NA,NA
3310,More mechanical energy problems,BF,B,BF
3326,Kinetic Energy,NP,NA,NA
3326,Work by a constant force,Other_P,NA,NA
3326,Work and Kinetic Energy,NP,NA,NA
3326,Potential Energy,NP,NA,NA
3326,When is Mechanical Energy Conserved,NP,NA,NA
3326,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
3326,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3326,Problems with Two Types of Potential Energy,Other_P,NA,NA
3326,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3326,More mechanical energy problems,NP,NA,NA
3366,Kinetic Energy,NF,B,NF
3366,Work by a constant force,NF,N,BP
3366,Work and Kinetic Energy,NP,NA,NA
3366,Potential Energy,NF,N,NP
3366,When is Mechanical Energy Conserved,NF,N,EP
3366,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3366,Problems Using Conservation of Mechanical Energy,NF,N,NF
3366,Problems with Two Types of Potential Energy,NP,NA,NA
3366,Mechanical Energy and Non-Conservative Work,NF,N,BP
3366,More mechanical energy problems,Other_P,NA,NA
3385,Kinetic Energy,NF,N,EP
3385,Work by a constant force,NF,B,NP
3385,Work and Kinetic Energy,NP,NA,NA
3385,Potential Energy,NP,NA,NA
3385,When is Mechanical Energy Conserved,NF,N,NP
3385,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3385,Problems Using Conservation of Mechanical Energy,NF,N,EF
3385,Problems with Two Types of Potential Energy,NP,NA,NA
3385,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3385,More mechanical energy problems,BF,N,BP
3395,Work by a constant force,Other_NA,NA,NA
3395,Work and Kinetic Energy,NP,NA,NA
3395,Potential Energy,Other_NA,NA,NA
3395,When is Mechanical Energy Conserved,Other_P,NA,NA
3395,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3395,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3395,Problems with Two Types of Potential Energy,NP,NA,NA
3395,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
3395,More mechanical energy problems,NP,NA,NA
3399,Kinetic Energy,NP,NA,NA
3399,Work by a constant force,NF,N,BP
3399,Work and Kinetic Energy,NF,N,EP
3399,Potential Energy,NF,N,NP
3399,When is Mechanical Energy Conserved,Other_F,NA,NA
3399,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3399,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
3399,Problems with Two Types of Potential Energy,NF,N,EP
3407,Kinetic Energy,NP,NA,NA
3407,Work by a constant force,Other_F,NA,NA
3407,Work and Kinetic Energy,NP,NA,NA
3407,Potential Energy,NP,NA,NA
3407,When is Mechanical Energy Conserved,NF,N,NP
3407,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3407,Problems Using Conservation of Mechanical Energy,NF,N,EP
3407,Problems with Two Types of Potential Energy,NP,NA,NA
3407,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3407,More mechanical energy problems,NP,NA,NA
3421,Kinetic Energy,NP,NA,NA
3421,Work by a constant force,NP,NA,NA
3421,Work and Kinetic Energy,NP,NA,NA
3421,Potential Energy,NP,NA,NA
3421,When is Mechanical Energy Conserved,NF,B,NP
3421,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
3421,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
3421,Problems with Two Types of Potential Energy,NP,NA,NA
3421,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3421,More mechanical energy problems,Other_P,NA,NA
3426,Kinetic Energy,NF,N,EP
3426,Work by a constant force,BF,N,NP
3426,Potential Energy,NP,NA,NA
3426,When is Mechanical Energy Conserved,NP,NA,NA
3426,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3426,Problems Using Conservation of Mechanical Energy,NF,N,NA
3426,Problems with Two Types of Potential Energy,NP,NA,NA
3426,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3426,More mechanical energy problems,NF,B,BF
3428,Kinetic Energy,NF,B,NP
3428,Work by a constant force,Other_F,NA,NA
3428,Work and Kinetic Energy,NP,NA,NA
3428,Potential Energy,NF,B,NP
3428,When is Mechanical Energy Conserved,NF,B,NF
3428,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3428,Problems Using Conservation of Mechanical Energy,NF,N,NF
3428,Problems with Two Types of Potential Energy,Other_F,NA,NA
3428,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3428,More mechanical energy problems,Other_NA,NA,NA
3448,Kinetic Energy,NF,N,NP
3448,Work by a constant force,NF,N,BP
3448,Work and Kinetic Energy,NF,N,NF
3448,Potential Energy,NF,N,NF
3448,When is Mechanical Energy Conserved,NP,NA,NA
3448,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3448,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3448,Problems with Two Types of Potential Energy,NF,N,EP
3448,Mechanical Energy and Non-Conservative Work,NF,N,EP
3448,More mechanical energy problems,NF,N,EP
3461,Kinetic Energy,NP,NA,NA
3461,Work by a constant force,NP,NA,NA
3461,Work and Kinetic Energy,NF,B,EP
3461,Potential Energy,NF,N,EP
3461,When is Mechanical Energy Conserved,NP,NA,NA
3461,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3461,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3461,Problems with Two Types of Potential Energy,NP,NA,NA
3461,Mechanical Energy and Non-Conservative Work,NF,B,EP
3461,More mechanical energy problems,NP,NA,NA
3476,Kinetic Energy,NP,NA,NA
3476,Work by a constant force,Other_P,NA,NA
3476,Work and Kinetic Energy,NP,NA,NA
3476,Potential Energy,Other_F,NA,NA
3476,When is Mechanical Energy Conserved,NF,N,NP
3476,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3476,Problems Using Conservation of Mechanical Energy,NF,B,EF
3476,Problems with Two Types of Potential Energy,NP,NA,NA
3476,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3476,More mechanical energy problems,NP,NA,NA
3514,Kinetic Energy,NP,NA,NA
3514,Work by a constant force,BP,NA,NA
3514,Work and Kinetic Energy,BP,NA,NA
3514,Potential Energy,NP,NA,NA
3514,When is Mechanical Energy Conserved,NF,B,NP
3514,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3514,Problems Using Conservation of Mechanical Energy,NF,B,NA
3514,Problems with Two Types of Potential Energy,NP,NA,NA
3514,Mechanical Energy and Non-Conservative Work,Other_F,NA,NA
3514,More mechanical energy problems,Other_NA,NA,NA
3546,Kinetic Energy,NP,NA,NA
3546,Work by a constant force,BP,NA,NA
3546,Work and Kinetic Energy,NP,NA,NA
3546,Potential Energy,NP,NA,NA
3546,When is Mechanical Energy Conserved,Other_F,NA,NA
3546,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3546,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3546,Problems with Two Types of Potential Energy,NP,NA,NA
3546,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
3546,More mechanical energy problems,NP,NA,NA
3645,Kinetic Energy,NF,N,EP
3645,Work by a constant force,Other_F,NA,NA
3645,Work and Kinetic Energy,NP,NA,NA
3645,Potential Energy,Other_P,NA,NA
3645,When is Mechanical Energy Conserved,NF,N,NA
3692,Kinetic Energy,NF,N,NF
3692,Work by a constant force,NF,N,BP
3692,Work and Kinetic Energy,NF,N,NF
3692,Potential Energy,Other_F,NA,NA
3692,When is Mechanical Energy Conserved,NF,N,NP
3692,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3692,Problems Using Conservation of Mechanical Energy,NF,N,BF
3692,Problems with Two Types of Potential Energy,BF,N,NF
3692,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3692,More mechanical energy problems,BF,N,NP
3708,Kinetic Energy,NF,N,EP
3708,Work by a constant force,NF,N,NP
3708,Work and Kinetic Energy,NP,NA,NA
3708,Potential Energy,NF,N,NP
3708,When is Mechanical Energy Conserved,NF,N,NP
3708,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3708,Problems Using Conservation of Mechanical Energy,NF,N,EP
3708,Problems with Two Types of Potential Energy,NF,N,EP
3708,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3708,More mechanical energy problems,NF,N,EP
3715,Kinetic Energy,Other_NA,NA,NA
3715,Work by a constant force,Other_F,NA,NA
3715,Work and Kinetic Energy,NP,NA,NA
3715,Potential Energy,NF,B,NF
3715,When is Mechanical Energy Conserved,Other_F,NA,NA
3715,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3715,Problems Using Conservation of Mechanical Energy,Other_P,NA,NA
3715,Problems with Two Types of Potential Energy,Other_P,NA,NA
3715,Mechanical Energy and Non-Conservative Work,Other_NA,NA,NA
3715,More mechanical energy problems,Other_NA,NA,NA
3724,Kinetic Energy,NF,N,NP
3724,Work by a constant force,BF,N,BF
3724,Work and Kinetic Energy,BF,N,BF
3724,Potential Energy,Other_NA,NA,NA
3724,When is Mechanical Energy Conserved,NF,N,EP
3724,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3724,Problems Using Conservation of Mechanical Energy,BF,N,NF
3724,Problems with Two Types of Potential Energy,Other_P,NA,NA
3724,Mechanical Energy and Non-Conservative Work,Other_F,NA,NA
3724,More mechanical energy problems,BP,NA,NA
3757,Kinetic Energy,NF,B,EP
3757,Work by a constant force,NF,N,NP
3757,Work and Kinetic Energy,NP,NA,NA
3757,Potential Energy,NF,N,NP
3757,When is Mechanical Energy Conserved,NF,N,NP
3757,Simple Application of Conservation of Mechanical Energy,NF,N,NP
3757,Problems Using Conservation of Mechanical Energy,NF,N,EP
3757,Problems with Two Types of Potential Energy,NP,NA,NA
3757,Mechanical Energy and Non-Conservative Work,NF,N,NF
3757,More mechanical energy problems,NF,N,EP
3799,Kinetic Energy,NP,NA,NA
3799,Work by a constant force,Other_P,NA,NA
3799,Work and Kinetic Energy,NP,NA,NA
3799,Potential Energy,Other_NA,NA,NA
3799,When is Mechanical Energy Conserved,Other_F,NA,NA
3799,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3799,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
3799,Problems with Two Types of Potential Energy,NF,B,NP
3799,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3799,More mechanical energy problems,Other_P,NA,NA
3800,Kinetic Energy,NP,NA,NA
3800,Work by a constant force,NP,NA,NA
3800,Work and Kinetic Energy,NP,NA,NA
3800,Potential Energy,NP,NA,NA
3800,When is Mechanical Energy Conserved,NF,N,NP
3800,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3800,Problems Using Conservation of Mechanical Energy,NP,NA,NA
3800,Problems with Two Types of Potential Energy,NF,N,EP
3800,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3800,More mechanical energy problems,NF,N,EP
3817,Kinetic Energy,NP,NA,NA
3817,Work by a constant force,BF,B,BP
3817,Work and Kinetic Energy,NF,N,NP
3817,Potential Energy,NP,NA,NA
3817,When is Mechanical Energy Conserved,NF,N,NF
3817,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3817,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
3817,Problems with Two Types of Potential Energy,NP,NA,NA
3817,Mechanical Energy and Non-Conservative Work,NF,N,EP
3817,More mechanical energy problems,NP,NA,NA
3840,Kinetic Energy,NF,N,NP
3840,Work by a constant force,NF,N,BP
3840,Potential Energy,Other_F,NA,NA
3840,When is Mechanical Energy Conserved,NF,N,NF
3840,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
3840,Problems Using Conservation of Mechanical Energy,NF,B,NF
